compiler,dataset,format,input_path,input_name,t,qiskit_opt,reverse_labels,n_terms,n_qubits,qubits,ok,wall_s,depth,gates_total,cx,twoq_total,ops_json,ibm_depth,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,tetris_swap_count,tetris_cx_count,tetris_bridge_count,IR_total,IR_remain,IR_cancel_ratio,error
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,True,False,60,8,8,True,0.034521,293,438,234,234,"{""cx"": 234, ""rz"": 60, ""u"": 144}",277,400,0,80,101,219,"{""CX"": 219, ""U2"": 80, ""U3"": 101}",0,234,0,516,438,0.1511627906976744,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,True,False,60,8,8,True,0.029538,293,438,234,234,"{""cx"": 234, ""rz"": 60, ""u"": 144}",277,400,0,80,101,219,"{""CX"": 219, ""U2"": 80, ""U3"": 101}",0,234,0,516,438,0.1511627906976744,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,True,False,60,8,8,True,0.030024,293,438,234,234,"{""cx"": 234, ""rz"": 60, ""u"": 144}",277,400,0,80,101,219,"{""CX"": 219, ""U2"": 80, ""U3"": 101}",0,234,0,516,438,0.1511627906976744,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,True,False,210,8,8,True,0.105196,1500,1900,1022,1022,"{""cx"": 1022, ""rz"": 210, ""u"": 668}",1053,1435,19,229,524,663,"{""CX"": 663, ""U1"": 19, ""U2"": 229, ""U3"": 524}",0,1022,0,3226,1900,0.41103533787972724,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.1,True,False,210,10,10,True,0.054900,1512,1832,1002,1002,"{""cx"": 1002, ""rz"": 210, ""u"": 620}",1093,1485,6,302,510,667,"{""CX"": 667, ""U1"": 6, ""U2"": 302, ""U3"": 510}",0,1002,0,2662,1832,0.31179564237415475,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_HF.txt,_Pauli_string_HF.txt,0.1,True,False,275,10,10,True,0.183524,2075,2965,1586,1586,"{""cx"": 1586, ""rz"": 275, ""u"": 1104}",1848,2572,22,606,587,1357,"{""CX"": 1357, ""U1"": 22, ""U2"": 606, ""U3"": 587}",0,1586,0,3533,2965,0.16076988395131617,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_OH-.txt,_Pauli_string_OH-.txt,0.1,True,False,275,10,10,True,0.180104,2002,2937,1558,1558,"{""cx"": 1558, ""rz"": 275, ""u"": 1104}",1771,2535,18,644,555,1318,"{""CX"": 1318, ""U1"": 18, ""U2"": 644, ""U3"": 555}",0,1558,0,3501,2937,0.1610968294772922,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_f.txt,_Pauli_string_LiH_f.txt,0.1,True,False,275,10,10,True,0.180153,2075,2965,1586,1586,"{""cx"": 1586, ""rz"": 275, ""u"": 1104}",1848,2572,22,606,587,1357,"{""CX"": 1357, ""U1"": 22, ""U2"": 606, ""U3"": 587}",0,1586,0,3533,2965,0.16076988395131617,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_H2O.txt,_Pauli_string_H2O.txt,0.1,True,False,550,12,12,True,0.433791,4454,6638,3632,3632,"{""cx"": 3632, ""rz"": 550, ""u"": 2456}",3925,5728,36,1410,1214,3068,"{""CX"": 3068, ""U1"": 36, ""U2"": 1410, ""U3"": 1214}",0,3632,0,8266,6638,0.1969513670457295,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_unf.txt,_Pauli_string_LiH_unf.txt,0.1,True,False,614,12,12,True,0.460331,4980,7198,3904,3904,"{""cx"": 3904, ""rz"": 614, ""u"": 2680}",4338,6124,47,1503,1328,3246,"{""CX"": 3246, ""U1"": 47, ""U2"": 1503, ""U3"": 1328}",0,3904,0,8858,7198,0.18740121923684805,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_f.txt,_Pauli_string_BeH2_f.txt,0.1,True,False,661,12,12,True,0.734831,5368,8157,4424,4424,"{""cx"": 4424, ""rz"": 661, ""u"": 3072}",4282,6198,103,906,1859,3330,"{""CX"": 3330, ""U1"": 103, ""U2"": 906, ""U3"": 1859}",0,4424,0,12143,8157,0.3282549617063329,
tetris,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_unf.txt,_Pauli_string_BeH2_unf.txt,0.1,True,False,661,14,14,True,0.574124,5698,8149,4584,4584,"{""cx"": 4584, ""rz"": 661, ""u"": 2904}",4964,7002,41,1644,1494,3823,"{""CX"": 3823, ""U1"": 41, ""U2"": 1644, ""U3"": 1494}",0,4584,0,10683,8149,0.23719928858934755,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,True,False,630,12,12,True,0.472996,5175,7462,4056,4056,"{""cx"": 4056, ""rz"": 630, ""u"": 2776}",4505,6381,50,1580,1375,3376,"{""CX"": 3376, ""U1"": 50, ""U2"": 1580, ""U3"": 1375}",0,4056,0,9226,7462,0.19119878603945373,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,True,False,630,12,12,True,0.603753,5504,7296,4144,4144,"{""cx"": 4144, ""rz"": 630, ""u"": 2522}",4658,6022,133,786,1825,3278,"{""CX"": 3278, ""U1"": 133, ""U2"": 786, ""U3"": 1825}",0,4144,0,11130,7296,0.3444743935309973,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,True,False,665,14,14,True,0.570496,5686,8233,4648,4648,"{""cx"": 4648, ""rz"": 665, ""u"": 2920}",4988,7122,41,1644,1522,3915,"{""CX"": 3915, ""U1"": 41, ""U2"": 1644, ""U3"": 1522}",0,4648,0,10735,8233,0.23306939916162087,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,True,False,665,14,14,True,0.675561,6543,9365,5080,5080,"{""cx"": 5080, ""rz"": 665, ""u"": 3620}",5332,6886,135,883,1866,4002,"{""CX"": 4002, ""U1"": 135, ""U2"": 883, ""U3"": 1866}",0,5080,0,12351,9365,0.24176180066391384,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,True,False,788,16,16,True,0.748744,6839,10358,5970,5970,"{""cx"": 5970, ""rz"": 788, ""u"": 3600}",5962,8958,19,2044,1848,5047,"{""CX"": 5047, ""U1"": 19, ""U2"": 2044, ""U3"": 1848}",0,5970,0,13932,10358,0.2565317255239736,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,True,False,788,16,16,True,0.787054,6905,9602,5498,5498,"{""cx"": 5498, ""rz"": 788, ""u"": 3316}",5745,7855,135,1187,2354,4179,"{""CX"": 4179, ""U1"": 135, ""U2"": 1187, ""U3"": 2354}",0,5498,0,13722,9602,0.30024777729193997,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,True,False,914,12,12,True,0.884909,7992,10528,6012,6012,"{""cx"": 6012, ""rz"": 914, ""u"": 3602}",6671,8856,184,1362,2766,4544,"{""CX"": 4544, ""U1"": 184, ""U2"": 1362, ""U3"": 2766}",0,6012,0,16782,10528,0.3726611846025504,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,True,False,914,12,12,True,0.627655,7664,11498,6240,6240,"{""cx"": 6240, ""rz"": 914, ""u"": 4344}",6829,9992,57,2497,2063,5375,"{""CX"": 5375, ""U1"": 57, ""U2"": 2497, ""U3"": 2063}",0,6240,0,14062,11498,0.18233537192433508,
tetris,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,True,False,1218,12,12,True,1.115561,10103,12856,7566,7566,"{""cx"": 7566, ""rz"": 1218, ""u"": 4072}",8374,10939,197,1687,3494,5561,"{""CX"": 5561, ""U1"": 197, ""U2"": 1687, ""U3"": 3494}",0,7566,0,21738,12856,0.40859324684883613,
